IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.65.235.130,4,4,0.00,133.45,0.00
172.67.69.227,4,4,0.00,133.74,0.00
172.65.234.146,4,4,0.00,133.86,0.00
162.159.152.185,4,4,0.00,133.91,0.00
172.65.227.85,4,4,0.00,136.27,0.00
172.67.68.155,4,4,0.00,137.09,0.00
162.159.135.18,4,4,0.00,138.62,0.00
172.67.66.205,4,4,0.00,139.03,0.00
162.159.140.74,4,4,0.00,139.25,0.00
172.65.226.125,4,4,0.00,139.26,0.00
