IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.42.72,4,4,0.00,140.87,0.00
104.19.61.39,4,4,0.00,142.05,0.00
104.19.254.0,4,4,0.00,142.77,0.00
104.18.49.80,4,4,0.00,146.08,0.00
104.19.102.45,4,4,0.00,146.25,0.00
104.18.50.177,4,4,0.00,148.84,0.00
104.18.19.66,4,4,0.00,149.44,0.00
104.19.243.197,4,4,0.00,150.67,0.00
104.18.36.22,4,4,0.00,150.75,0.00
104.19.41.116,4,4,0.00,150.80,0.00
